"","deployment","participant_id","pm","hepa","k_val_mean","k_val_min","k_val_q25","k_val_median","k_val_q75","k_val_max","peak_hgt_mean","peak_hgt_median","peak_hgt_min","peak_hgt_max","peak_wdh_mean","peak_wdh_median","peak_wdh_min","peak_wdh_max","total_plume_area","n"
"1","CH","clerk","pm1",FALSE,-0.00509268202605358,-0.0172212263447022,-0.00609124796753924,-0.0023181438408068,-0.00119967352582964,-0.00052277869938507,7.42646666666667,5.37435,4.1304,19.152,631.666666666667,329.5,34,2096,33535.7996,6
"2","CH","clerk","pm1",TRUE,-0.0422694817543706,-0.164948158288498,-0.0494701163380914,-0.00985724541199204,-0.00539541658464623,-0.00237169445808587,4.26135,2.90145,2.0582,10.1356,478.5,201.5,4,1523,12091.9514,6
"3","CH","clerk","pm10",FALSE,-0.172051824518261,-0.401546803980942,-0.285332557064302,-0.198372463674132,-0.00395297752439839,-0.00037900821883256,7.978725,5.8157,4.9187,24.2985,303.166666666667,8,3,2077,36355.2862,12
"4","CH","clerk","pm10",TRUE,-0.419645994776413,-1.3097809959558,-0.668326479821165,-0.290561876096742,-0.0525455962783165,-0.001447306630728,5.06606666666667,4.40935,2.8381,11.9787,142.944444444444,7.5,3,1445,13139.6916,18
"5","CH","clerk","pm25",FALSE,-0.00545199850720612,-0.0168039643840837,-0.00688069311464238,-0.00333042944061135,-0.00131766283165666,-0.00053631280993913,8.36555,5.70405,4.3038,19.8611,643.833333333333,372,20,2098,35600.5697,6
"6","CH","clerk","pm25",TRUE,-0.0350968337222377,-0.204404454509179,-0.0108454424193435,-0.0078331858709581,-0.00463732229300855,-0.00247466625082288,4.18887142857143,2.9413,2.1077,9.9103,416.571428571429,65,5,1523,12724.0823,7
"7","CH","engineering","pm1",FALSE,-0.080959938642643,-0.416121748975839,-0.0932738392111638,-0.0216543520015046,-0.00300983072204186,-0.00073667302298645,5.42089166666667,4.42455,4.0179,14.0023,158.75,24,5,1063,12029.6018,12
"8","CH","engineering","pm1",TRUE,-0.00017984985847448,-0.00017984985847448,-0.00017984985847448,-0.00017984985847448,-0.00017984985847448,-0.00017984985847448,10.5565,10.5565,10.5565,10.5565,2746,2746,2746,2746,16166.8326,1
"9","CH","engineering","pm10",FALSE,-0.1372687725223,-0.438989639526195,-0.282863407652245,-0.0450130427878185,-0.0225569254294707,-0.00142968946961965,10.2136769230769,10.6202,5.0464,23.127,136.615384615385,35,3,1063,13795.4798,13
"10","CH","engineering","pm10",TRUE,-0.00023018731093457,-0.00023018731093457,-0.00023018731093457,-0.00023018731093457,-0.00023018731093457,-0.00023018731093457,23.4422,23.4422,23.4422,23.4422,2746,2746,2746,2746,20615.1721,1
"11","CH","engineering","pm25",FALSE,-0.110546196551603,-0.306296146666844,-0.227875729880315,-0.0418935151689237,-0.0013928915709657,-0.00069924430281363,6.3104375,5.10265,4.3464,14.882,211.5,44,5,1063,11658.9867,8
"12","CH","engineering","pm25",TRUE,-0.00031090516871583,-0.00031090516871583,-0.00031090516871583,-0.00031090516871583,-0.00031090516871583,-0.00031090516871583,12.8014,12.8014,12.8014,12.8014,2746,2746,2746,2746,17283.7062,1
